5489	5583	3156	835	1988	3912	938	7460	869	4420
3522	935	7877	5665	7020	9555	7379	7124	7878	5544
7555	7579	2550	2487	9477	864	2349	1012	8250	2633
5759	3554	5080	9074	7001	6249	3224	6368	9102	2672
6303	6895	3371	3196	7231	2918	7380	438	7547	2644
7351	5634	5323	2623	7803	8374	2191	464	696	9529
7068	7803	8832	5119	6350	120	5026	3684	5657	304
3613	1428	1796	8447	503	5654	3254	7336	9536	1944
5143	4534	2105	368	7890	2473	4240	8652	9435	1422
9815	5144	7649	8638	6137	8070	5345	4865	2456	5708
5780	1277	6316	1013	2867	9938	3930	3203	5696	1769
1187	951	5991	5245	5700	5564	7352	891	6249	6568
4184	2179	4554	9083	2254	2435	2965	5154	1209	7069
2916	2972	9885	275	144	8034	8122	3213	7666	230
5524	1341	9860	6565	6981	9842	171	2284	2707	3008
146	5291	2354	5694	377	5336	6460	9585	3415	2358



